Type of exp	TP	FN	TN	FP	AUC	AUH	accuracy	precision	F1 score	specificity	sensitivity	acc est
SVMprob-VL-extA	70	17	70	17	  0.86	  0.87	 80.46%	 80.46%	  0.80	 80.46%	 80.46%	 80.46%
RF-VL-extA	70	17	65	22	  0.86	  0.87	 77.59%	 76.09%	  0.78	 74.71%	 80.46%	 77.59%
SVMprob-VR-extA	66	21	64	23	  0.79	  0.80	 74.71%	 74.16%	  0.75	 73.56%	 75.86%	 74.71%
RF-VR-extA	70	17	61	26	  0.83	  0.85	 75.29%	 72.92%	  0.77	 70.11%	 80.46%	 75.29%
SVMprob-VU-extA	75	12	65	22	  0.87	  0.88	 80.46%	 77.32%	  0.82	 74.71%	 86.21%	 80.46%
RF-VU-extA	73	14	60	27	  0.83	  0.84	 76.44%	 73.00%	  0.78	 68.97%	 83.91%	 76.44%
SVMprob-V-extA	60	27	68	19	  0.78	  0.80	 73.56%	 75.95%	  0.72	 78.16%	 68.97%	 73.56%
RF-V-extA	56	31	72	15	  0.80	  0.81	 73.56%	 78.87%	  0.71	 82.76%	 64.37%	 73.56%
SVMprob-iHL-extA	71	16	69	18	  0.86	  0.87	 80.46%	 79.78%	  0.81	 79.31%	 81.61%	 80.46%
RF-iHL-extA	71	16	72	15	  0.89	  0.91	 82.18%	 82.56%	  0.82	 82.76%	 81.61%	 82.18%
SVMprob-iHR-extA	75	12	63	24	  0.84	  0.86	 79.31%	 75.76%	  0.81	 72.41%	 86.21%	 79.31%
RF-iHR-extA	71	16	70	17	  0.89	  0.90	 81.03%	 80.68%	  0.81	 80.46%	 81.61%	 81.03%
SVMprob-iHU-extA	73	14	69	18	  0.87	  0.89	 81.61%	 80.22%	  0.82	 79.31%	 83.91%	 81.61%
RF-iHU-extA	74	13	63	24	  0.87	  0.88	 78.74%	 75.51%	  0.80	 72.41%	 85.06%	 78.74%
SVMprob-iH-extA	73	14	62	25	  0.83	  0.85	 77.59%	 74.49%	  0.79	 71.26%	 83.91%	 77.59%
RF-iH-extA	67	20	70	17	  0.84	  0.86	 78.74%	 79.76%	  0.78	 80.46%	 77.01%	 78.74%
SVMprob-iL-extA	79	8	60	27	  0.86	  0.87	 79.89%	 74.53%	  0.82	 68.97%	 90.80%	 79.89%
RF-iL-extA	70	17	66	21	  0.86	  0.87	 78.16%	 76.92%	  0.79	 75.86%	 80.46%	 78.16%
SVMprob-iR-extA	64	23	69	18	  0.79	  0.82	 76.44%	 78.05%	  0.76	 79.31%	 73.56%	 76.44%
RF-iR-extA	65	22	72	15	  0.84	  0.86	 78.74%	 81.25%	  0.78	 82.76%	 74.71%	 78.74%
SVMprob-iU-extA	71	16	75	12	  0.87	  0.89	 83.91%	 85.54%	  0.84	 86.21%	 81.61%	 83.91%
RF-iU-extA	72	15	57	30	  0.81	  0.82	 74.14%	 70.59%	  0.76	 65.52%	 82.76%	 74.14%
SVMprob-iVHL-extA	70	17	70	17	  0.87	  0.88	 80.46%	 80.46%	  0.80	 80.46%	 80.46%	 80.46%
RF-iVHL-extA	79	8	67	20	  0.90	  0.92	 83.91%	 79.80%	  0.85	 77.01%	 90.80%	 83.91%
SVMprob-iVHR-extA	62	25	75	12	  0.85	  0.87	 78.74%	 83.78%	  0.77	 86.21%	 71.26%	 78.74%
RF-iVHR-extA	72	15	71	16	  0.90	  0.91	 82.18%	 81.82%	  0.82	 81.61%	 82.76%	 82.18%
SVMprob-iVHU-extA	75	12	65	22	  0.88	  0.89	 80.46%	 77.32%	  0.82	 74.71%	 86.21%	 80.46%
RF-iVHU-extA	67	20	75	12	  0.89	  0.90	 81.61%	 84.81%	  0.81	 86.21%	 77.01%	 81.61%
SVMprob-iVH-extA	61	26	75	12	  0.85	  0.86	 78.16%	 83.56%	  0.76	 86.21%	 70.11%	 78.16%
RF-iVH-extA	72	15	68	19	  0.85	  0.87	 80.46%	 79.12%	  0.81	 78.16%	 82.76%	 80.46%
SVMprob-iVL-extA	81	6	59	28	  0.87	  0.88	 80.46%	 74.31%	  0.83	 67.82%	 93.10%	 80.46%
RF-iVL-extA	74	13	67	20	  0.88	  0.89	 81.03%	 78.72%	  0.82	 77.01%	 85.06%	 81.03%
SVMprob-iVR-extA	60	27	71	16	  0.82	  0.83	 75.29%	 78.95%	  0.74	 81.61%	 68.97%	 75.29%
RF-iVR-extA	74	13	63	24	  0.86	  0.88	 78.74%	 75.51%	  0.80	 72.41%	 85.06%	 78.74%
SVMprob-iVU-extA	75	12	66	21	  0.88	  0.89	 81.03%	 78.12%	  0.82	 75.86%	 86.21%	 81.03%
RF-iVU-extA	77	10	64	23	  0.87	  0.88	 81.03%	 77.00%	  0.82	 73.56%	 88.51%	 81.03%
SVMprob-iV-extA	69	18	58	29	  0.79	  0.80	 72.99%	 70.41%	  0.75	 66.67%	 79.31%	 72.99%
RF-iV-extA	63	24	73	14	  0.85	  0.86	 78.16%	 81.82%	  0.77	 83.91%	 72.41%	 78.16%
SVMprob-i-extA	45	42	74	13	  0.72	  0.75	 68.39%	 77.59%	  0.62	 85.06%	 51.72%	 68.39%
RF-i-extA	64	23	65	22	  0.77	  0.80	 74.14%	 74.42%	  0.74	 74.71%	 73.56%	 74.14%
